block_id,anomalous
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
153,0
154,0
155,0
157,0
160,0
162,0
163,0
164,0
165,0
166,0
168,0
169,0
171,0
172,0
175,0
176,0
178,0
179,0
180,0
182,0
183,0
184,0
185,0
186,0
187,0
189,0
190,0
192,0
193,0
194,0
195,0
196,0
197,1
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
208,0
210,0
211,0
212,0
214,1
216,0
217,0
218,0
219,0
220,0
221,0
222,0
225,0
226,0
227,0
229,0
230,0
231,0
233,0
235,0
236,0
238,0
239,0
240,0
241,0
242,0
243,0
247,0
248,0
249,0
252,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,0
277,0
278,0
280,0
281,0
282,0
283,0
571,0
572,0
574,0
576,0
577,0
578,0
579,1
581,0
583,0
584,0
585,0
586,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
600,0
601,0
602,0
603,0
604,0
605,0
606,1
607,0
609,0
611,0
613,0
615,0
617,0
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
631,0
632,0
633,0
635,0
636,0
637,0
638,0
640,0
642,0
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,0
653,0
654,0
655,0
656,0
657,0
660,0
662,0
663,0
665,0
666,0
667,0
668,0
669,0
672,0
673,0
674,0
675,0
677,1
680,0
681,0
684,0
686,0
687,0
688,0
689,0
691,0
692,0
693,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
704,0
705,0
706,0
707,0
708,0
709,0
711,0
712,0
1143,0
1144,0
1145,0
1146,0
1149,0
1150,0
1152,0
1155,0
1156,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1177,0
1178,0
1179,0
1181,0
1182,0
1183,0
1184,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1195,0
1196,0
1198,0
1199,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1208,0
1209,0
1210,0
1213,0
1214,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1229,0
1230,0
1231,0
1233,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1270,0
1272,0
1273,0
1274,0
1276,0
1278,0
1280,0
1281,0
1282,0
1284,0
1285,0
1288,0
1289,0
1291,0
1292,0
1293,1
1294,0
1295,0
1296,0
1297,0
1301,0
1302,0
1303,0
1305,0
1307,0
1309,0
1310,0
1311,0
1312,0
1315,1
1316,1
1317,0
1319,1
1320,1
1321,1
1322,1
1323,0
1324,0
1325,0
1327,0
1328,0
1330,0
1331,0
1335,0
1336,0
1337,0
1338,0
1341,0
1342,0
1343,0
1344,0
1345,0
1348,0
1349,0
1350,0
1351,0
1353,0
1354,0
1355,0
1356,0
1357,0
1359,0
1360,0
1361,0
1363,0
1364,0
1365,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1392,0
1393,0
1394,0
1396,0
1397,0
1398,0
1400,0
1401,0
1402,0
1403,0
1404,0
